code,description_short,description_long,is_billable,status,valid_from
J0591,"Inj deoxycholic acid, 1 mg","Injection, deoxycholic acid, 1 mg",True,active,2020-07-01T00:00:00Z
J0592,Buprenorphine hydrochloride,"Injection, buprenorphine hydrochloride, 0.1 mg",True,active,2003-01-01T00:00:00Z
J0593,"Inj., lanadelumab-flyo, 1 mg","Injection, lanadelumab-flyo, 1 mg (code may be used for medicare when drug",True,active,2019-10-01T00:00:00Z
J0594,Busulfan injection,"injection, busulfan, 1 mg",True,active,2007-01-01T00:00:00Z
J0595,Butorphanol tartrate 1 mg,"Injection, butorphanol tartrate, 1 mg",True,active,2004-01-01T00:00:00Z
J0596,"Injection, ruconest","Injection, c1 esterase inhibitor (recombinant), ruconest, 10 units",True,active,2016-01-01T00:00:00Z
J0597,"C-1 esterase, berinert","Injection, c-1 esterase inhibitor (human), berinert, 10 units",True,active,2011-01-01T00:00:00Z
J0598,"C-1 esterase, cinryze","Injection, c-1 esterase inhibitor (human), cinryze, 10 units",True,active,2010-01-01T00:00:00Z
J0599,"Inj., haegarda 10 units","Injection, c-1 esterase inhibitor (human), (haegarda), 10 units",True,active,2019-01-01T00:00:00Z
J0600,Edetate calcium disodium inj,"Injection, edetate calcium disodium, up to 1000 mg",True,active,1982-01-01T00:00:00Z
J0601,Sevelamer carbonate 20 mg,"Sevelamer carbonate (renvela or therapeutically equivalent), oral, 20 mg (for",True,active,2025-01-01T00:00:00Z
J0602,Sevelamer carbonate pdr 20mg,"Sevelamer carbonate (renvela or therapeutically equivalent), oral, powder, 20",True,active,2025-01-01T00:00:00Z
J0603,Sevelamer hydrochloride 20mg,"Sevelamer hydrochloride (renagel or therapeutically equivalent), oral, 20 mg",True,active,2025-01-01T00:00:00Z
J0604,"Cinacalcet, esrd on dialysis","Cinacalcet, oral, 1 mg, (for esrd on dialysis)",True,active,2018-01-01T00:00:00Z
J0605,Sucroferric oxyhydroxide 5mg,"Sucroferric oxyhydroxide, oral, 5 mg (for esrd on dialysis)",True,active,2025-01-01T00:00:00Z
J0606,"Inj, etelcalcetide, 0.1 mg","Injection, etelcalcetide, 0.1 mg",True,active,2018-01-01T00:00:00Z
J0607,Lanthanum carbonate oral 5mg,"Lanthanum carbonate, oral, 5 mg (for esrd on dialysis)",True,active,2025-01-01T00:00:00Z
J0608,Lanthanum carbonate pwdr 5mg,"Lanthanum carbonate, oral, powder, 5 mg, not therapeutically equivalent to",True,active,2025-01-01T00:00:00Z
J0609,Ferric citrate orl 3 mg iron,"Ferric citrate, oral, 3 mg ferric iron, (for esrd on dialysis)",True,active,2025-01-01T00:00:00Z
J0610,Calcium glucon (fresenius),"Injection, calcium gluconate (fresenius kabi), per 10 ml",True,deprecated,1982-01-01T00:00:00Z
J0611,Calcium glucon (wg critical),"Injection, calcium gluconate (wg critical care), per 10 ml",True,deprecated,2023-01-01T00:00:00Z
J0612,"Inj, calcium gluconate, nos","Injection, calcium gluconate, not otherwise specified, 10 mg",True,active,2023-04-01T00:00:00Z
J0613,Calcium glucon (wg critical),"Injection, calcium gluconate (wg critical care), not therapeutically equivalent",True,active,2023-04-01T00:00:00Z
J0614,"Inj, treosulfan, 50 mg","Injection, treosulfan, 50 mg",True,active,2025-10-01T00:00:00Z
J0615,"Calcium acetate, oral, 23 mg","Calcium acetate, oral, 23 mg (for esrd on dialysis)",True,active,2025-01-01T00:00:00Z
J0616,Inj metoprolol tartrate 1 mg,"Injection, metoprolol tartrate, 1 mg",True,active,2025-07-01T00:00:00Z
J0618,"Inj, calcium chloride, 2 mg","Injection, calcium chloride, 2 mg",True,active,2025-07-01T00:00:00Z
J0620,Calcium glycer & lact/10 ml,"Injection, calcium glycerophosphate and calcium lactate, per 10 ml",True,active,1982-01-01T00:00:00Z
J0630,Calcitonin salmon injection,"Injection, calcitonin salmon, up to 400 units",True,active,1982-01-01T00:00:00Z
