parent_code,child_code,relationship
B26.8,B26.83,is-a
B26.8,B26.84,is-a
B26.8,B26.85,is-a
B26.8,B26.89,is-a
B27,B27.0,is-a
B27,B27.1,is-a
B27,B27.8,is-a
B27,B27.9,is-a
B27.0,B27.00,is-a
B27.0,B27.01,is-a
B27.0,B27.02,is-a
B27.0,B27.09,is-a
B27.1,B27.10,is-a
B27.1,B27.11,is-a
B27.1,B27.12,is-a
B27.1,B27.19,is-a
B27.8,B27.80,is-a
B27.8,B27.81,is-a
B27.8,B27.82,is-a
B27.8,B27.89,is-a
B27.9,B27.90,is-a
B27.9,B27.91,is-a
B27.9,B27.92,is-a
B27.9,B27.99,is-a
B30,B30.0,is-a
B30,B30.1,is-a
B30,B30.2,is-a
B30,B30.3,is-a
B30,B30.8,is-a
B30,B30.9,is-a
B33,B33.0,is-a
B33,B33.1,is-a
B33,B33.2,is-a
B33,B33.3,is-a
B33,B33.4,is-a
B33,B33.8,is-a
B33.2,B33.20,is-a
B33.2,B33.21,is-a
B33.2,B33.22,is-a
B33.2,B33.23,is-a
B33.2,B33.24,is-a
B34,B34.0,is-a
B34,B34.1,is-a
B34,B34.2,is-a
B34,B34.3,is-a
B34,B34.4,is-a
B34,B34.8,is-a
B34,B34.9,is-a
B35,B35.0,is-a
B35,B35.1,is-a
B35,B35.2,is-a
B35,B35.3,is-a
B35,B35.4,is-a
B35,B35.5,is-a
B35,B35.6,is-a
B35,B35.8,is-a
B35,B35.9,is-a
B36,B36.0,is-a
B36,B36.1,is-a
B36,B36.2,is-a
B36,B36.3,is-a
B36,B36.8,is-a
B36,B36.9,is-a
B37,B37.0,is-a
B37,B37.1,is-a
B37,B37.2,is-a
B37,B37.3,is-a
B37,B37.4,is-a
B37,B37.5,is-a
B37,B37.6,is-a
B37,B37.7,is-a
B37,B37.8,is-a
B37,B37.9,is-a
B37.3,B37.31,is-a
B37.3,B37.32,is-a
B37.4,B37.41,is-a
B37.4,B37.42,is-a
B37.4,B37.49,is-a
B37.8,B37.81,is-a
B37.8,B37.82,is-a
B37.8,B37.83,is-a
B37.8,B37.84,is-a
B37.8,B37.89,is-a
B38,B38.0,is-a
B38,B38.1,is-a
B38,B38.2,is-a
B38,B38.3,is-a
B38,B38.4,is-a
B38,B38.7,is-a
B38,B38.8,is-a
B38,B38.9,is-a
B38.8,B38.81,is-a
B38.8,B38.89,is-a
B39,B39.0,is-a
B39,B39.1,is-a
B39,B39.2,is-a
B39,B39.3,is-a
B39,B39.4,is-a
B39,B39.5,is-a
B39,B39.9,is-a
B40,B40.0,is-a
B40,B40.1,is-a
B40,B40.2,is-a
B40,B40.3,is-a
B40,B40.7,is-a
B40,B40.8,is-a
B40,B40.9,is-a
B40.8,B40.81,is-a
B40.8,B40.89,is-a
B41,B41.0,is-a
B41,B41.7,is-a
B41,B41.8,is-a
B41,B41.9,is-a
B42,B42.0,is-a
B42,B42.1,is-a
B42,B42.7,is-a
B42,B42.8,is-a
B42,B42.9,is-a
B42.8,B42.81,is-a
B42.8,B42.82,is-a
B42.8,B42.89,is-a
B43,B43.0,is-a
B43,B43.1,is-a
B43,B43.2,is-a
B43,B43.8,is-a
B43,B43.9,is-a
B44,B44.0,is-a
B44,B44.1,is-a
B44,B44.2,is-a
B44,B44.7,is-a
B44,B44.8,is-a
B44,B44.9,is-a
B44.8,B44.81,is-a
B44.8,B44.89,is-a
B45,B45.0,is-a
B45,B45.1,is-a
B45,B45.2,is-a
B45,B45.3,is-a
B45,B45.7,is-a
B45,B45.8,is-a
B45,B45.9,is-a
B46,B46.0,is-a
B46,B46.1,is-a
B46,B46.2,is-a
B46,B46.3,is-a
B46,B46.4,is-a
B46,B46.5,is-a
B46,B46.8,is-a
B46,B46.9,is-a
B47,B47.0,is-a
B47,B47.1,is-a
B47,B47.9,is-a
B48,B48.0,is-a
B48,B48.1,is-a
B48,B48.2,is-a
B48,B48.3,is-a
B48,B48.4,is-a
B48,B48.8,is-a
B50,B50.0,is-a
B50,B50.8,is-a
B50,B50.9,is-a
B51,B51.0,is-a
B51,B51.8,is-a
B51,B51.9,is-a
B52,B52.0,is-a
B52,B52.8,is-a
B52,B52.9,is-a
B53,B53.0,is-a
B53,B53.1,is-a
B53,B53.8,is-a
B55,B55.0,is-a
B55,B55.1,is-a
B55,B55.2,is-a
B55,B55.9,is-a
B56,B56.0,is-a
B56,B56.1,is-a
B56,B56.9,is-a
B57,B57.0,is-a
B57,B57.1,is-a
B57,B57.2,is-a
B57,B57.3,is-a
B57,B57.4,is-a
B57,B57.5,is-a
B57.3,B57.30,is-a
B57.3,B57.31,is-a
B57.3,B57.32,is-a
B57.3,B57.39,is-a
B57.4,B57.40,is-a
B57.4,B57.41,is-a
B57.4,B57.42,is-a
B57.4,B57.49,is-a
B58,B58.0,is-a
B58,B58.1,is-a
B58,B58.2,is-a
B58,B58.3,is-a
B58,B58.8,is-a
B58,B58.9,is-a
B58.0,B58.00,is-a
B58.0,B58.01,is-a
B58.0,B58.09,is-a
B58.8,B58.81,is-a
B58.8,B58.82,is-a
B58.8,B58.83,is-a
B58.8,B58.89,is-a
B60,B60.0,is-a
B60,B60.1,is-a
B60,B60.2,is-a
B60,B60.8,is-a
B60.0,B60.00,is-a
