code,description_short,description_long,is_billable,status,valid_from
236,This procedure or procedure/modifier combination is not compatible with another,This procedure or procedure/modifier combination is not compatible with another procedure or procedure/modifier combination provided on the same day according to the National Correct Coding Initiative or workers compensation state regulations/ fee schedule requirements.,,active,2011-01-30T00:00:00Z
237,Legislated/Regulatory Penalty,"Legislated/Regulatory Penalty. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,active,2011-06-05T00:00:00Z
238,"Claim spans eligible and ineligible periods of coverage, this is the reduction for the ineligible period","Claim spans eligible and ineligible periods of coverage, this is the reduction for the ineligible period. (Use only with Group Code PR)",,active,2012-03-01T00:00:00Z
239,Claim spans eligible and ineligible periods of coverage,Claim spans eligible and ineligible periods of coverage. Rebill separate claims.,,active,2012-03-01T00:00:00Z
24,Charges are covered under a capitation agreement/managed care plan,Charges are covered under a capitation agreement/managed care plan.,,active,1995-01-01T00:00:00Z
240,The diagnosis is inconsistent with the patient's birth weight,"The diagnosis is inconsistent with the patient's birth weight. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2012-06-03T00:00:00Z
241,Low Income Subsidy (LIS) Co-payment Amount,Low Income Subsidy (LIS) Co-payment Amount,,active,2012-06-03T00:00:00Z
242,Services not provided by network/primary care providers,Services not provided by network/primary care providers.,,active,2012-06-03T00:00:00Z
243,Services not authorized by network/primary care providers,Services not authorized by network/primary care providers.,,active,2012-06-03T00:00:00Z
244,Payment reduced to zero due to litigation,Payment reduced to zero due to litigation. Additional information will be sent following the conclusion of litigation. To be used for Property & Casualty only.,,active,2012-09-30T00:00:00Z
245,Provider performance program withhold,Provider performance program withhold.,,active,2012-09-30T00:00:00Z
246,This non-payable code is for required reporting only,This non-payable code is for required reporting only.,,active,2012-09-30T00:00:00Z
247,Deductible for Professional service rendered in an Institutional setting and billed on an Institutional claim,Deductible for Professional service rendered in an Institutional setting and billed on an Institutional claim.,,active,2026-04-18T22:49:21Z
248,Coinsurance for Professional service rendered in an Institutional setting and billed on an Institutional claim,Coinsurance for Professional service rendered in an Institutional setting and billed on an Institutional claim.,,active,2026-04-18T22:49:21Z
249,This claim has been identified as a readmission,This claim has been identified as a readmission. (Use only with Group Code CO),,active,2012-09-30T00:00:00Z
25,Payment denied,Payment denied. Your Stop loss deductible has not been met.,,deprecated,1995-01-01T00:00:00Z
250,The attachment/other documentation that was received was the incorrect attachment/document,"The attachment/other documentation that was received was the incorrect attachment/document. The expected attachment/document is still missing. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT).",,active,2012-09-30T00:00:00Z
251,The attachment/other documentation that was received was incomplete or deficient,"The attachment/other documentation that was received was incomplete or deficient. The necessary information is still needed to process the claim. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT).",,active,2012-09-30T00:00:00Z
252,An attachment/other documentation is required to adjudicate this claim/service,"An attachment/other documentation is required to adjudicate this claim/service. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT).",,active,2012-09-30T00:00:00Z
253,Sequestration - reduction in federal payment,Sequestration - reduction in federal payment,,active,2013-06-02T00:00:00Z
254,"Claim received by the dental plan, but benefits not available under this plan","Claim received by the dental plan, but benefits not available under this plan.  Submit these services to the patient's medical plan for further consideration.",,active,2013-06-02T00:00:00Z
255,The disposition of the related Property & Casualty claim (injury or illness) is pending due to litigation,The disposition of the related Property & Casualty claim (injury or illness) is pending due to litigation. (Use only with Group Code OA),,active,2013-06-02T00:00:00Z
256,Service not payable per managed care contract,Service not payable per managed care contract.,,active,2013-06-02T00:00:00Z
257,The disposition of the claim/service is undetermined during the premium payment,"The disposition of the claim/service is undetermined during the premium payment grace period, per Health Insurance Exchange requirements. This claim/service will be reversed and corrected when the grace period ends (due to premium payment or lack of premium payment). (Use only with Group Code OA)",,active,2013-11-01T00:00:00Z
258,Claim/service not covered when patient is in custody/incarcerated,"Claim/service not covered when patient is in custody/incarcerated. Applicable federal, state or local authority may cover the claim/service.",,active,2013-11-01T00:00:00Z
259,Additional payment for Dental/Vision service utilization,Additional payment for Dental/Vision service utilization.,,active,2014-01-26T00:00:00Z
26,Expenses incurred prior to coverage,Expenses incurred prior to coverage.,,active,1995-01-01T00:00:00Z
260,Processed under Medicaid ACA Enhanced Fee Schedule,Processed under Medicaid ACA Enhanced Fee Schedule,,active,2014-01-26T00:00:00Z
261,The procedure or service is inconsistent with the patient's history,The procedure or service is inconsistent with the patient's history.,,active,2014-06-01T00:00:00Z
262,Adjustment for delivery cost,Adjustment for delivery cost. Usage: To be used for pharmaceuticals only.,,active,2014-11-01T00:00:00Z
263,Adjustment for shipping cost,Adjustment for shipping cost. Usage: To be used for pharmaceuticals only.,,active,2014-11-01T00:00:00Z
264,Adjustment for postage cost,Adjustment for postage cost. Usage: To be used for pharmaceuticals only.,,active,2014-11-01T00:00:00Z
265,Adjustment for administrative cost,Adjustment for administrative cost. Usage: To be used for pharmaceuticals only.,,active,2014-11-01T00:00:00Z
266,Adjustment for compound preparation cost,Adjustment for compound preparation cost. Usage: To be used for pharmaceuticals only.,,active,2014-11-01T00:00:00Z
267,Claim/service spans multiple months,"Claim/service spans multiple months. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,active,2014-11-01T00:00:00Z
268,The Claim spans two calendar years,The Claim spans two calendar years. Please resubmit one claim per calendar year.,,active,2014-11-01T00:00:00Z
269,Anesthesia not covered for this service/procedure,"Anesthesia not covered for this service/procedure. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2015-03-01T00:00:00Z
27,Expenses incurred after coverage terminated,Expenses incurred after coverage terminated.,,active,1995-01-01T00:00:00Z
270,"Claim received by the medical plan, but benefits not available under this plan","Claim received by the medical plan, but benefits not available under this plan. Submit these services to the patient's dental plan for further consideration.",,active,2015-07-01T00:00:00Z
271,Prior contractual reductions related to a current periodic payment as part of a,Prior contractual reductions related to a current periodic payment as part of a contractual payment schedule when deferred amounts have been previously reported. (Use only with Group Code OA),,active,2015-11-01T00:00:00Z
272,Coverage/program guidelines were not met,Coverage/program guidelines were not met.,,active,2015-11-01T00:00:00Z
273,Coverage/program guidelines were exceeded,Coverage/program guidelines were exceeded.,,active,2015-11-01T00:00:00Z
274,Fee/Service not payable per patient Care Coordination arrangement,Fee/Service not payable per patient Care Coordination arrangement.,,active,2015-11-01T00:00:00Z
275,"Prior payer's (or payers') patient responsibility (deductible, coinsurance, co-payment) not covered","Prior payer's (or payers') patient responsibility (deductible, coinsurance, co-payment) not covered. (Use only with Group Code PR)",,active,2015-11-01T00:00:00Z
276,Services denied by the prior payer(s) are not covered by this payer,Services denied by the prior payer(s) are not covered by this payer.,,active,2015-11-01T00:00:00Z
